  ra              dec             W(C18O)       AV               AV_sig          AV_n   N(C18O)           N(H2)              X(C18O)              W(N2H)         
  64.1757649521   27.7155277778   0.0872611     1.21090227832    1.53263277292   26.0   8.651065454E13    1.13824814162E21   7.60033347532E-8     -0.1283961     
  64.1757649521   27.7259444444   -0.042996     1.12899585537    1.53096729968   23.0   -4.26262344E13    1.06125610405E21   -4.0165832015E-8     -0.10314425    
  64.1757649521   27.7363611111   -1.51388E-4   1.10096216871    1.52894423517   25.0   -1.500860632E11   1.03490443858E21   -1.45024079137E-10   -0.1538039     
  64.1757649521   27.7467777778   0.0585394     1.12276598667    1.52498109625   21.0   5.803596116E13    1.05540002747E21   5.49895391787E-8     -0.14823985    
  64.1757649521   27.7571944444   -0.1154       1.24856863224    1.52115358695   20.0   -1.1440756E14     1.1736545143E21    -9.74797596786E-8    -0.0820757     
  64.1757649521   27.7676111111   -0.19522      1.39841842485    1.53569274845   20.0   -1.93541108E14    1.31451331936E21   -1.47234041032E-7    -0.3846666     
  64.1757649521   27.7780277778   -0.0940856    1.56781435       1.54009477137   17.0   -9.327646384E13   1.473745489E21     -6.32921115188E-8    -0.12019993    
  64.1757649521   27.7884444444   0.20716       1.62714669829    1.54071258454   18.0   2.05378424E14     1.52951789639E21   1.34276574654E-7     -0.0520552     
  64.1757649521   27.7988611111   0.18589       1.63001713861    1.53668880437   15.0   1.84291346E14     1.53221611029E21   1.20277645407E-7     -0.34143       
  64.1757649521   27.8092777778   0.18269       1.64420610059    1.51917593581   17.0   1.81118866E14     1.54555373456E21   1.1718703915E-7      -0.02053779    
